name,brand,generation,tdp,cables,vram,pcie,year
Color Emulation Card,0,Wonder,,,0.000032,ISA 8-bit,1986
Graphics Solution,0,Wonder,,,0.000064,ISA 8-bit,1986
EGA Wonder 800+,0,Wonder,,,0.00025,ISA 8-bit,1988
Graphics Solution Plus,0,Wonder,,,0.000064,ISA 8-bit,1987
VGA Improved Performance,0,Wonder,,,0.00025,ISA 8-bit,1987
EGA Wonder 480,0,Wonder,,,0.00025,ISA 8-bit,1988
VGA Wonder,0,Wonder,,,0.00025,ISA 8-bit,1990
8514-Ultra,0,Mach,,,0.001,ISA 16-bit,1992
Graphics Ultra,0,Mach,,,0.001,ISA 16-bit,1992
Graphics Ultra Pro ISA,0,Mach,,,0.002,ISA 16-bit,1992
Graphics Vantage,0,Mach,,,0.001,ISA 16-bit,1992
Graphics Wonder PCI,0,Mach,,,0.001,PCI,1992
Graphics Wonder VLB,0,Mach,,,0.001,VLB,1992
VGA Wonder XL24,0,Wonder,,,0.001,ISA 16-bit,1992
Graphics Ultra Pro PCI,0,Mach,,,0.001,PCI,1993
Graphics Ultra Pro VLB,0,Mach,,,0.001,VLB,1993
Graphics Ultra XLR VLB,0,Mach,,,0.001,VLB,1993
Playstation GPU 600nm,7,Console GPU(Sony),11.0,,0.001,,1994
NV1,4,NV1,2.0,,0.002,PCI,1995
STG-2000,4,NV1,2.0,,0.001,PCI,1995
Graphics Pro Turbo,0,Mach,,,0.002,PCI,1995
Graphics Xpression,0,Mach,,,0.002,PCI,1995
Graphics Xpression ISA,0,Mach,,,0.002,PCI,1995
Video Xpression,0,Mach,,,0.001,PCI,1996
WinBoost,0,Mach,,,0.002,PCI,1995
WinCharger,0,Mach,,,0.002,PCI,1995
WinTurbo,0,Mach,,,0.002,PCI,1995
3D Rage,0,Mach,,,0.002,PCI,1996
3D Rage II,0,Mach,,,0.004,PCI,1996
3D Rage II+ DVD,0,Mach,,,0.004,PCI,1996
All-In-Wonder 3D Rage II+ DVD,0,Mach,,,0.004,PCI,1996
Voodoo Graphics 4 MB,5,Voodoo1,15.0,,0.004,PCI,1996
Riva 128,4,Riva,4.0,,0.004,AGP 2x,1997
Riva 128 PCI,4,Riva,4.0,,0.004,PCI,1997
3D Rage IIC AGP,0,Rage 2,,,0.004,AGP 2x,1997
